Query,Assessment_url
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/python-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/tableau-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/
"I want to hire a data analyst, can you suggest some assessments",https://www.shl.com/solutions/products/product-catalog/view/data-warehousing-concepts/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/css3-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/core-java-entry-level-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/java-8-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/core-java-advanced-level-new/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/products/product-catalog/view/interpersonal-communications/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/products/product-catalog/view/professional-7-1-solution/
"based on my JD pasted below, suggest some assesments: role:java developer , experience:2 years",https://www.shl.com/solutions/products/product-catalog/view/javascript-new/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/automata-fix-new/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/products/product-catalog/view/business-communication-adaptive/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/products/product-catalog/view/interpersonal-communications/
"I want to hire a new sales manager for my company , can you suggest me some assessment",https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/css3-new/
urgently require a HR and content writer,https://www.shl.com/products/product-catalog/view/english-comprehension-new/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/automata-selenium/
urgently require a HR and content writer,https://www.shl.com/products/product-catalog/view/professional-7-1-solution/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/
urgently require a HR and content writer,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/
